Test-Nr.;OCEAN-Dimension;Testname;Setting & Durchführung (Praxisform);Material;Dauer;Rolle der Figurant:in;Beobachtungskriterien (Checkliste);Bewertungsskala (-2 bis +2, mit Ankern);Score (-2..2)
25;Openness (O);Anpassung an Führungswechsel;Die Figurant:in wechselt abrupt die Art der Führung (z.B. von Stimme zu Handzeichen).;-;1 min;Wechselt die Kommunikationsmethode abrupt und ohne Wiederholung.;Flexibilität: Wie schnell passt sich der Hund der neuen Kommunikationsform an? Irritation: Zeigt der Hund Zeichen von Verwirrung?;-2: Ist irritiert, reagiert gar nicht auf die neue Führung. +2: Passt sich sehr schnell und reibungslos an.;
26;Openness (O);"Untersuchung eines ""Verstecks""";Ein attraktiver Geruch (Futter) wird hinter einem Stoffhund oder Rollator platziert.;Stoffhund/Rollator, Hundefutter;1.5 min;Platziert Futter hinter/unter einem Objekt.;Ausdauer: Wie beharrlich versucht er, das Futter zu erreichen? Methodik: Probiert er verschiedene Lösungswege?;-2: Gibt schnell auf, wenn die Lösung nicht offensichtlich ist. +2: Zeigt hohe Ausdauer und Kreativität bei der Problemlösung.;
27;Openness (O);Reaktion auf unklare Situation;Die Figurant:in bewegt sich in einem ungewohnten, zögerlichen Gangmuster.;-;1 min;Bewegt sich ungenau (z.B. im Zick-Zack), gibt keine klaren Signale.;Verunsicherung: Wie stark ist der Hund verunsichert? Initiative: Übernimmt der Hund die Führung oder bleibt er in Lauerstellung?;-2: Ist stark verunsichert, erstarrt oder meidet die Figurant:in. +2: Bleibt entspannt, zeigt aktive, neugierige Beobachtung.;
28;Openness (O);Interaktion mit Pylonen-Weg;Ein Weg aus Pylonen wird aufgebaut. Hund soll an der Seite entlang.;Pylonen;1 min;Führt den Hund an einer Reihe von Pylonen entlang.;Neuheit: Ist der Hund neugierig auf die Struktur? Präferenz: Geht er den bekannten Weg oder erkundet er die Pylonen-Reihe?;-2: Ignoriert die Pylonen, zeigt kein Interesse. +2: Zeigt aktives Interesse an den Pylonen und untersucht sie.;
29;Neuroticism (N);Ablenkung durch Schatten/Licht;Die Figurant:in erzeugt mit dem Schirm (oder Stange) einen abrupten Schatten.;Schirm (oder Stange);1 min;Erzeugt eine plötzliche, große Schatten-Veränderung.;Schreck: Wie stark ist die Schreckreaktion? Erholungszeit: Wie lange benötigt der Hund, um sich zu beruhigen?;-2: Zeigt keine Reaktion (sehr stabil). +2: Starke Schreckreaktion, lange Erholungszeit (sehr instabil/ängstlich).;
30;Neuroticism (N);Plötzliche Annäherung;Die Figurant:in läuft abrupt auf den Hund zu und stoppt 1 Meter vor ihm.;-;1 min;Läuft schnell und abrupt, stoppt vor dem Hund (nicht bedrohlich).;Stressreaktion: Zeigt der Hund Stress (Gähnen, Lippenlecken, Ohren anlegen)? Meideverhalten: Versucht der Hund auszuweichen?;-2: Bleibt entspannt stehen (sehr stabil). +2: Starkes Ausweichen, Angststarre oder panische Flucht.;
31;Neuroticism (N);Geräusch an Krücken;Kurzes, leises Klopfen mit den Krücken auf den Boden.;Krücken;1 min;Klopft zweimal leicht auf den Boden, bleibt passiv.;Sensibilität: Wie empfindlich reagiert der Hund auf das leise Klopfen? Angstreaktion: Zeigt er Hecheln, Zittern oder winseln?;-2: Ignoriert das Geräusch (sehr stabil). +2: Deutliche Angstreaktion, Suche nach Schutz (sehr instabil/ängstlich).;
32;Neuroticism (N);Unsichere Führung;Die Figurant:in versteckt sich kurz (hinter einem Baum/Pylonen) und taucht dann wieder auf.;Pylonen (als Abgrenzung);1.5 min;Versteckt sich 10 Sekunden, ohne den Hund zu rufen.;Trennungsstress: Winseln, Bellen, hektische Suche? Selbstsicherheit: Bleibt der Hund ruhig oder gerät er in Panik?;-2: Bleibt ruhig, wartet oder erkundet die Nähe (sehr stabil). +2: Panische Suche, lautes Winseln/Bellen (sehr instabil/ängstlich).;
33;Neuroticism (N);Schreckhafter Stoffhund;Der Stoffhund wird plötzlich leicht bewegt (mit einer langen Stange).;Stoffhund, Stangen;1 min;Bewegt den Stoffhund unvorhersehbar, ohne Geräusche.;Erschrecken: Zieht der Hund sich sofort zurück? Beobachtung: Beobachtet er die Bewegung aus sicherer Entfernung?;-2: Beobachtet die Bewegung ohne Zeichen von Angst (sehr stabil). +2: Deutliche Flucht/Vermeidung des Stoffhunds (sehr instabil/ängstlich).;
34;Neuroticism (N);Stangen-Reaktion (Überwindung);Der Hund muss über am Boden liegende Stangen laufen.;Stangen;1 min;Geht ruhig über die Stangen (keine Hürden, nur Ablenkung).;Vermeidung: Versucht der Hund, über die Stangen zu springen (als ob sie gefährlich wären)? Anspannung: Geht er angespannt oder entspannt über die Stangen?;-2: Geht entspannt und freiwillig über alle Stangen (sehr stabil). +2: Springt ängstlich über die Stangen, zeigt hohe Anspannung.;
35;Neuroticism (N);Abschluss und Entspannung;Nach den Tests: Figurant:in bietet eine ruhige, passive Entspannungsphase an.;-;2 min;Setzt sich ruhig hin, spricht leise und entspannt.;Beruhigung: Sucht der Hund aktiv die Nähe/Anlehnung zum Beruhigen? Nachhall: Zeigt der Hund noch Stresszeichen (Hecheln, Zittern)?;-2: Entspannt sofort, sucht Nähe/legt sich ab (sehr stabil). +2: Bleibt hektisch, hechelt, ist nicht ansprechbar (sehr instabil/ängstlich).;
